longV,bustub,bustub_longV,,diff2
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
0.9937504189007028,4.20084357685718,,,0.02451279423855368
0.9982970049731464,4.2216297425951375,,,0.04268112281692105
0.9956972368941042,4.2349937159284625,,,0.05136983035567955
0.9908667915180821,4.243713620742487,,,0.05410950974504036
0.9910924791324025,4.2530364952845146,,,0.056601356319822216
1.0604082971015745,4.358743711784693,,,0.15454778977051298
1.3573219443787647,4.735758563303849,,,0.5132440903856335
1.6442260048217718,5.116682003094721,,,0.8382400870920756
1.9311812497040841,5.501534187367943,,,1.129096208457427
2.1691592569398184,5.840487522003184,,,1.335438187766747
2.4176773812052486,5.87103060459415,,,1.2002882906979329
2.7635568068975207,6.012860923199941,,,1.1750999065300274
3.1472926022689993,6.1957784378489285,,,1.1788943031185344
3.505769134879934,6.342593651551043,,,1.1296310446286029
3.807041886416121,5.61186649075416,,,0.18901588075086373
4.053291063696782,5.00251481272024,,,-0.556218796830021
4.282320544172492,4.794682148726454,,,-0.8284285709173629
4.520678538364838,4.802398544216725,,,-0.826604533969352
4.74455698454973,4.668372666909806,,,-0.9292020653884716
4.948495721306945,4.395152113240417,,,-1.1191064670120463
5.147915447528765,4.319274193540607,,,-1.0504508458355808
5.298539489696323,3.7414140491213788,,,-1.4731353491494525
4.396731547365831,3.0930021074843395,,,-1.8944026033786368
3.752463560558158,2.7804155977124894,,,-1.896711480114028
3.3206699528915378,2.5773634258337452,,,-1.7435458466089164
3.2691941169302936,2.554796579501373,,,-1.4626623864492472
3.277715915006623,2.5648275060324317,,,-1.2078596365963015
3.069691689532321,2.483743006402895,,,-1.0659586719564365
2.8323784669195597,2.400250543392417,,,-0.9175855811855316
2.563510177559717,2.286711341858258,,,-0.804312570367951
2.4772736578260117,2.2505832679727384,,,-0.6295965671152546
2.39448622978513,2.21996783983582,,,-0.4533429026953866
2.273328519318661,2.1785585362762894,,,-0.34260758532636126
1.9034655688105488,2.04962331509676,,,-0.38009844938508586
1.699930262602435,1.9810152940766945,,,-0.37562724214357845
1.6057223437094141,1.948737795045974,,,-0.3482699279985939
1.5447311234043202,1.932727985460705,,,-0.303673859138323
1.4031519686915248,1.8947149303496715,,,-0.2784769621921841
1.322316342832855,1.8737827593419807,,,-0.2405063255945521
1.129165992836628,1.824786434942682,,,-0.2368558715888076
0.9167529986520003,1.7390848302603,,,-0.27636498557963196
0.879727533423769,1.7210468775579975,,,-0.24325309451069033
0.8803966576720023,1.7220932839199132,,,-0.19231459192099232
0.8809358825020617,1.7235288368436619,,,-0.1452325137616055
0.8306975276298113,1.7112925096793916,,,-0.12485939310056637
0.7583914659740314,1.6746420345570272,,,-0.13453758978320063
0.6115840532987237,1.5755010850752538,,,-0.20626896321607924
0.5659996065622034,1.5387710914775166,,,-0.20727626677527122
0.5660089904681567,1.539313592573622,,,-0.17113938179194998
0.5674235847859768,1.5439235272314749,,,-0.1330825304572616
