被験者名,ID7
試行事例,t3
隆起部上センサ,1
最大挙上時間,24
安静時間,30
CH1,CH2,Difference,LOG,Detection
1.304,1.3760000000000001,0.0,0,0
1.2976,1.3616000000000001,0.0,0,0
1.2944,1.3536000000000001,0.0,0,0
1.2944,1.3504,0.0,0,0
1.296,1.3536000000000001,0.0022400000000000198,0,0
1.3008,1.352,0.0032000000000000028,0,0
1.2976,1.3376000000000001,0.0025599999999999846,0,0
1.288,1.3216,0.0038399999999999767,0,0
1.272,1.2976,0.0070399999999999794,0,0
1.264,1.2768000000000002,0.008319999999999972,0,0
1.2592,1.2592,0.008319999999999972,0,0
1.2528000000000001,1.2592,0.00895999999999999,0,0
1.2544,1.2656,0.007359999999999945,0,0
1.2704,1.2848000000000002,0.007359999999999945,0,0
1.2832000000000001,1.296,0.008319999999999972,0,0
1.2912000000000001,1.3056,0.00895999999999999,0,0
1.288,1.3056,0.008320000000000017,0,0
1.2832000000000001,1.3024,0.008960000000000034,0,0
1.2864,1.3056,0.0064000000000000055,0,0
1.2848000000000002,1.3056,0.0041599999999999415,0,0
1.2784,1.3008,0.0038399999999999767,0,0
1.272,1.3056,0.004479999999999951,0,0
1.272,1.3248,0.0035199999999999676,0,0
1.2784,1.3296000000000001,0.004159999999999986,0,0
1.2816,1.3344,0.0044800000000000395,0,0
1.2832000000000001,1.3376000000000001,0.003520000000000012,0,0
1.2832000000000001,1.3296000000000001,0.0022400000000000198,0,0
1.28,1.32,0.002880000000000038,0,0
1.2752000000000001,1.3088,0.002560000000000029,0,0
1.2736,1.2976,0.0022400000000000198,0,0
1.2768000000000002,1.2928000000000002,0.002560000000000029,0,0
1.2864,1.304,0.004479999999999995,0,0
1.3152000000000001,1.3376000000000001,0.009600000000000008,0,0
1.352,1.3776000000000002,0.016000000000000014,0,0
1.3728,1.4144,0.01983999999999999,0,0
1.368,1.4496,0.020159999999999956,0,0
1.3552,1.4656,0.02080000000000002,0,0
1.3648,1.4576,0.016959999999999996,0,0
1.328,1.4080000000000001,0.016959999999999996,0,0
1.288,1.3488,0.02080000000000002,0,0
1.2672,1.2864,0.02400000000000002,0,0
1.2656,1.2496,0.02176,0,0
1.2672,1.2528000000000001,0.02016,0,0
1.2448000000000001,1.272,0.017280000000000007,0,0
1.2256,1.3552,0.01312000000000002,0,0
1.2752000000000001,1.456,0.018880000000000053,0,0
1.3248,1.5216,0.028480000000000016,0,1
1.3488,1.5456,0.03296000000000001,0,0
1.3392000000000002,1.5424,0.030399999999999983,0,0
1.3264,1.5328000000000002,0.02911999999999999,0,0
1.3168,1.52,0.021119999999999983,0,0
1.3056,1.5088000000000001,0.013439999999999985,0,0
1.3008,1.504,0.009600000000000008,0,0
1.3072000000000001,1.5024000000000002,0.008960000000000079,1,0
1.3168,1.504,0.008320000000000017,0,0
1.3168,1.5024000000000002,0.0064000000000000055,0,0
1.3152000000000001,1.496,0.004479999999999995,0,0
1.3184,1.4752,0.0041599999999999415,1,0
1.3152000000000001,1.4432,0.0035199999999998787,0,0
1.304,1.4384000000000001,0.0038399999999999324,0,0
1.2928000000000002,1.4304000000000001,0.0060799999999999075,0,0
1.28,1.4032,0.008319999999999972,0,0
1.2688000000000001,1.3632,0.009919999999999974,0,0
1.2544,1.32,0.012160000000000037,0,0
1.248,1.2928000000000002,0.01120000000000001,0,0
1.2576,1.288,0.010880000000000046,0,0
1.2704,1.2896,0.01088,0,0
1.2848000000000002,1.2912000000000001,0.011520000000000063,0,0
1.2976,1.2848000000000002,0.01120000000000001,0,0
1.2944,1.2768000000000002,0.010560000000000036,0,0
1.288,1.2688000000000001,0.009920000000000017,0,0
1.2912000000000001,1.264,0.008000000000000052,0,0
1.2944,1.2704,0.005759999999999987,0,0
1.304,1.288,0.005120000000000013,0,0
1.3136,1.304,0.0064000000000000055,0,0
1.3216,1.3232000000000002,0.006720000000000015,0,0
1.3232000000000002,1.3456000000000001,0.0064000000000000055,0,0
1.3216,1.3728,0.006080000000000041,0,0
1.3152000000000001,1.3856000000000002,0.005440000000000023,0,0
1.3104,1.3712,0.0044800000000000395,0,0
1.3024,1.352,0.0044800000000000395,0,0
1.3056,1.352,0.004800000000000049,0,0
1.312,1.3568,0.005760000000000032,0,0
1.3136,1.3552,0.004800000000000049,0,0
1.3072000000000001,1.3488,0.005120000000000013,0,0
1.296,1.32,0.005760000000000032,0,0
1.2864,1.2816,0.007040000000000024,0,0
1.2896,1.2784,0.00640000000000005,0,0
1.2848000000000002,1.2656,0.007040000000000024,0,0
1.2704,1.2592,0.00864000000000007,0,0
1.2672,1.256,0.007040000000000024,0,0
1.2672,1.264,0.005120000000000013,0,0
1.2656,1.264,0.004800000000000004,0,0
1.2672,1.2608000000000001,0.00416000000000003,0,0
1.2624,1.2576,0.0022400000000000198,0,0
1.2592,1.2592,0.0022400000000000198,0,0
1.2576,1.2576,0.002560000000000029,0,0
1.2592,1.2544,0.002560000000000029,0,0
