被験者名,XP2
試行事例,通常嚥下
隆起部上センサ,1
最大挙上時間,6
安静時間,10
CH1,CH2,Difference,LOG,Detection
1.5296,1.76,0.0,0,0
1.5216,1.7568000000000001,0.0,0,0
1.536,1.7696,0.0,0,0
1.5488000000000002,1.784,0.0,0,0
1.5408000000000002,1.784,0.008640000000000026,0,0
1.5296,1.768,0.010880000000000046,0,0
1.512,1.7504000000000002,0.012800000000000056,0,0
1.52,1.7488000000000001,0.011520000000000063,0,0
1.5456,1.7392,0.014080000000000047,0,0
1.5616,1.7376,0.015680000000000048,0,0
1.5712000000000002,1.7392,0.01536000000000004,0,0
1.5648,1.752,0.013120000000000066,0,0
1.5824,1.7648000000000001,0.015040000000000076,0,0
1.5792000000000002,1.7776,0.010560000000000036,0,0
1.5648,1.792,0.010240000000000072,0,0
1.5712000000000002,1.7888000000000002,0.009600000000000098,0,0
1.5664,1.7904,0.009280000000000089,0,0
1.5792000000000002,1.8032000000000001,0.008320000000000105,0,0
1.584,1.8128000000000002,0.008640000000000115,0,0
1.5728,1.8208000000000002,0.008000000000000096,0,0
1.5568000000000002,1.8288,0.009920000000000017,0,0
1.5488000000000002,1.8336000000000001,0.010559999999999991,0,0
1.552,1.8416000000000001,0.008639999999999936,0,0
1.544,1.8384,0.009279999999999955,0,0
1.5216,1.8288,0.01151999999999993,0,0
1.472,1.808,0.01823999999999999,0,0
1.4208,1.7792000000000001,0.02687999999999997,0,0
1.3968,1.7616,0.03104,0,1
1.3696000000000002,1.7552,0.03487999999999998,0,0
1.3168,1.7088,0.04096000000000002,0,0
1.2672,1.6368,0.040959999999999976,0,0
1.248,1.5952000000000002,0.034560000000000014,0,0
1.3072000000000001,1.6256000000000002,0.04160000000000004,0,0
1.3056,1.6400000000000001,0.03648000000000007,0,0
1.256,1.6352,0.03584000000000005,1,0
1.2608000000000001,1.6400000000000001,0.026880000000000105,0,0
1.3504,1.6432,0.040960000000000066,0,0
1.3936000000000002,1.6352,0.03776000000000006,0,0
1.4048,1.6192,0.03968000000000003,0,0
1.3952,1.5968,0.03168000000000002,0,0
1.3808,1.584,0.033599999999999984,1,0
1.3744,1.584,0.016959999999999996,0,0
1.3808,1.6096000000000001,0.009599999999999964,0,0
1.3920000000000001,1.6464,0.009600000000000008,0,0
1.4224,1.6720000000000002,0.013759999999999994,0,0
1.4672,1.6864000000000001,0.01983999999999999,0,0
1.4992,1.6864000000000001,0.024960000000000003,0,0
1.5264,1.6896,0.02911999999999999,0,0
1.5376,1.6912,0.02911999999999999,0,0
1.5408000000000002,1.7056,0.023680000000000014,0,0
1.5488000000000002,1.7264000000000002,0.016320000000000022,0,0
1.552,1.7456,0.010559999999999991,0,0
1.5696,1.768,0.008640000000000026,0,0
1.5712000000000002,1.7808000000000002,0.006720000000000015,0,0
1.552,1.7888000000000002,0.009920000000000017,0,0
1.5264,1.7856,0.01344000000000003,0,0
1.4864000000000002,1.7776,0.02080000000000002,0,0
1.4832,1.7904,0.017920000000000026,0,0
1.4864000000000002,1.8048000000000002,0.018240000000000034,0,0
1.4864000000000002,1.8144,0.014400000000000013,0,0
1.4816,1.816,0.010240000000000027,0,0
1.4816,1.8112000000000001,0.002240000000000064,0,0
1.4928000000000001,1.8096,0.0038400000000000656,0,0
1.4928000000000001,1.8048000000000002,0.0032000000000000474,0,0
1.4864000000000002,1.7952000000000001,0.0044800000000000395,0,0
1.4832,1.7856,0.00416000000000003,0,0
1.4816,1.7776,0.0044800000000000395,0,0
1.4864000000000002,1.7744,0.0032000000000000474,0,0
1.488,1.7696,0.003520000000000012,0,0
1.4832,1.768,0.0032000000000000028,0,0
1.4848000000000001,1.7696,0.0028799999999999937,0,0
1.4864000000000002,1.7744,0.0028799999999999937,0,0
